id,source,provenance,finding,context,class_start,orig_grade
"1329-r1-1","1329-r1","pr-body","the documented upgrade path does not exist","PR #1329 · round 1 · packages/core/templates/shared/AI-USAGE-GUIDE.md","MATERIAL","BLOCKER"
"1329-r1-2","1329-r1","pr-body","the parity gate was registered in nothing","PR #1329 · round 1 · packages/core/principles/","MATERIAL","BLOCKER"
"1329-r2-1","1329-r2","pr-body","the snapshot regeneration the round-1 CI surfaced","PR #1329 · round 2 · tests/install-sh/baselines/ts-server/","MATERIAL","MAJOR"
"1332-r1-1","1332-r1","pr-body","the replacement sentence had itself gone false between authoring and merge","PR #1332 · round 1 · packages/core/templates/shared/AI-USAGE-GUIDE.md","MATERIAL","MAJOR"
"1332-r1-2","1332-r1","pr-body","the F7 gate is `install.sh:678` (the cited `669-671` is the *core* skills loop)","PR #1332 · round 1 · packages/core/templates/shared/AI-USAGE-GUIDE.md","IMMATERIAL","MINOR"
"1332-r1-3","1332-r1","pr-body","the tier-home presence gate moved to `install.sh:1090-1093`","PR #1332 · round 1 · packages/core/templates/shared/AI-USAGE-GUIDE.md","IMMATERIAL","MINOR"
"1333-r3-1","1333-r3","pr-body","`tier` not stamped on the shipped live consumer path; re-derived at `install.ts:89` and collapsing to `DEFAULT_TIER`","PR #1333 · round 3 · packages/core/synthesizer/install.ts","MATERIAL","MAJOR"
"1333-r4-1","1333-r4","pr-body","the committed `synth-and-wire.bundle.mjs` had drifted from its source while `audit-self.yml` runs the drift check unconditionally","PR #1333 · round 4 · packages/core/synthesizer/synth-and-wire.bundle.mjs","MATERIAL","MAJOR"
"1333-r5-1","1333-r5","pr-body","on the live path this arm's precondition never occurs and every python rule falls to","PR #1333 · round 5 · setup.d/45-python.sh:531","MATERIAL","MINOR"
"1341-r1-1","1341-r1","pr-body","the call appeared to pass, because the echoed profile matched. It matched by coincidence: the pinned profile was already the project default","PR #1341 · round 1 · scripts/getff-glm-onebutton.sh","MATERIAL","none"
"1341-r1-2","1341-r1","pr-body","The N5 stub was fail-**open** (catch-all `rc=0`, create arm with no body inspection)","PR #1341 · round 1 · tests/install-sh/glm-onebutton.test.sh","MATERIAL","none"
"1341-r1-3","1341-r1","pr-body","A failed per-mode-default PUT warned and fell through to `DONE`","PR #1341 · round 1 · scripts/getff-glm-onebutton.sh","MATERIAL","none"
"1341-r1-4","1341-r1","pr-body","the §2-constraint-1 assertion on the step-D surface **could not fail** — it accumulated request argv into a shell variable, and since the helper calls curl inside `$( )`, every stub call ran in its own subshell and the variable was empty at assertion time","PR #1341 · round 1 · tests/install-sh/glm-onebutton.test.sh","MATERIAL","none"
"1341-r1-5","1341-r1","pr-body","round-6 recurrence in the leak block","PR #1341 · round 6 · tests/install-sh/glm-onebutton.test.sh","MATERIAL","none"
"1346-r1-1","1346-r1","pr-body","text-level compression («Any F4b LANDING» vs the spec's unscoped «any landing» — substance supported by v3 §4)","PR #1346 · round 1 · docs/superpowers/specs/2026-08-09-session-bus-v2.md","IMMATERIAL","MINOR"
"1349-r1-1","1349-r1","pr-body","install-sh fingerprints not regenerated → deterministic red snapshot gate","PR #1349 · round 1 · tests/install-sh/baselines/","MATERIAL","BLOCKER"
"1349-r1-2","1349-r1","pr-body","debounce flag write leaked stderr on failure — redirect applied after the simple-command's own","PR #1349 · round 1 · packages/core/hooks/end-of-turn-reminder.sh","MATERIAL-b","MINOR"
"1349-r1-3","1349-r1","pr-body","three surviving mutations: `-1m` table branch, `1m-deep` tier, combined autonomy+ctx composition in the exit shim","PR #1349 · round 1 · packages/core/hooks/end-of-turn-reminder.test.ts","MATERIAL","MINOR"
"1353-r1-1","1353-r1","pr-body","the criterion-3 tier assertion used `""$RULE_ID""[^}]*""tier"":0`, which cannot cross the `}` closing the first provenance object, so it bound the provenance SOURCE's tier — a synthetic lock with rule-tier 2 and a Tier-0 source PASSED, the exact derived-vs-accidental conflation criterion 3 forbids","PR #1353 · round 1 · tests/install-sh/python-rules-lock.test.sh","MATERIAL","MAJOR"
"1353-r1-2","1353-r1","pr-body","criterion 7 had no assertion anywhere, in this diff or the standing suite","PR #1353 · round 1 · packages/core/synthesizer/emit.test.ts","MATERIAL","MAJOR"
"1353-r1-3","1353-r1","pr-body","criterion 4's lock-level checks tested `.getff/rules-lock.{cargo,go}.json`, a path nothing writes — cargo and go write under `.ai-factory/synthesizer-output/` (`setup.d/46-cargo.sh:198`, `setup.d/47-go.sh:164`) — and the fixture carried no Rust/Go manifest, so both branches emitted `ok` unconditionally","PR #1353 · round 1 · tests/install-sh/python-rules-lock.test.sh","MATERIAL","MAJOR"
"1353-r1-4a","1353-r1","pr-body","a `skip`-that-passes on the one arm proving the stage","PR #1353 · round 1 · tests/install-sh/python-rules-lock.test.sh","MATERIAL","MAJOR"
"1353-r1-4b","1353-r1","pr-body","a URL-only provenance grep","PR #1353 · round 1 · tests/install-sh/python-rules-lock.test.sh","MATERIAL-b","MAJOR"
"1353-r1-4c","1353-r1","pr-body","a stale reader contract comment","PR #1353 · round 1 · tests/install-sh/python-rules-lock.test.sh","IMMATERIAL","MAJOR"
"1353-r1-4d","1353-r1","pr-body","the §2 justification for a second inline writer","PR #1353 · round 1 · packages/core/synthesizer/emit.ts","IMMATERIAL","MAJOR"
"1353-r2-1","1353-r2","pr-body","M1's repair had reintroduced the same defect class through an **unbounded `.*`** on a single-line multi-rule array — a defect nobody would have found by inspection","PR #1353 · round 2 · tests/install-sh/python-rules-lock.test.sh","MATERIAL","MAJOR"
"1353-r3-1","1353-r3","pr-body","**Proof corpus is one byte off the artefact it certifies.** The five synthetic locks at `tests/install-sh/python-rules-lock.test.sh:447-456` join rule objects with `},{` while the real emitter joins with `}, {` (`setup.d/45-python.sh:534`). The auditor re-ran the shipped pattern over real-separator shapes and got identical verdicts (7/7), so it is verified non-load-bearing today — flagged because a fixture that does not reproduce the emitted shape is the class of thing that hides the *next* boundary defect.","PR #1353 · round 3 · tests/install-sh/python-rules-lock.test.sh","IMMATERIAL","MINOR"
"1353-r3-2","1353-r3","pr-body","**Round-narrative leaked into a shipped layer.** The comment at `setup.d/45-python.sh:518-521` retells the round-2 audit («it said ""line 648"" while the same hunk … pushed the caller to 654»). The substantive repair — naming `_py_write_rules_lock` instead of a line number — is correct and durable; the audit-round retelling inside consumer-installed `setup.d/` is not.","PR #1353 · round 3 · setup.d/45-python.sh","IMMATERIAL","MINOR"
"1358-r1-1","1358-r1","pr-body","Makefile wiring at Makefile:38","PR #1358 · round 1 · Makefile","MATERIAL","MAJOR"
"1358-r1-2","1358-r1","pr-body","**Step (5) asserted file size while printing «loaded».** `readFileSync(...).length > 100` passes on any file over 100 bytes, so a truncated bundle shipped green","PR #1358 · round 1 · tests/consumer-matrix/npm-tarball-cell.sh:167","MATERIAL","MAJOR"
"1358-r1-3","1358-r1","pr-body","LICENSE/README gating at tests/consumer-matrix/npm-tarball-cell.sh:104","PR #1358 · round 1 · tests/consumer-matrix/npm-tarball-cell.sh","MATERIAL-b","MINOR"
"1358-r1-4","1358-r1","pr-body","over-ship evidence at docs/meta-factory/getff-name-architecture-freeze.md:177","PR #1358 · round 1 · docs/meta-factory/getff-name-architecture-freeze.md","MATERIAL-b","MINOR"
"1358-r2-1","1358-r2","pr-body","preset-react-spa/package.json:11 is ""scripts""; the record now cites :15 and adds the two previously uncited presets","PR #1358 · round 2 · packages/preset-react-spa/package.json","IMMATERIAL","MINOR"
"1358-r3-1","1358-r3","pr-body","docs/meta-factory/getff-name-architecture-freeze.md:146 dropped the qualifier ""publishable-intent"", leaving ""all four siblings do"". packages/ holds six siblings of core; lint-config and runtime-bridge declare no peerDependencies. The four named packages and their line numbers are correct, so the referent is recoverable from the enumeration itself — precision regression in a parenthetical, not a wrong fact about any named package.","PR #1358 · round 3 · docs/meta-factory/getff-name-architecture-freeze.md:146","IMMATERIAL","MINOR"
"1360-r1-1","1360-r1","pr-body","kickoff §3 makes the 6-item checklist binding on negative-existence claims, rev 1 made four and discharged none, and running it **falsified two of them**","PR #1360 · round 1 · docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md","MATERIAL","MAJOR"
"1360-r1-2","1360-r1","pr-body","RQ1 now carries a **per-tier** disposition (Fable 5 → `COVERAGE INSUFFICIENT TO CONCLUDE`, backed by its own 4-phrasing sweep","PR #1360 · round 1 · docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md","MATERIAL","MAJOR"
"1360-r1-3","1360-r1","pr-body","`T_soft(200k)` is **parked** as §4c fork `PARK-CDC-1` instead of silently proposed at 75%, which sat above every figure in its own evidence cell","PR #1360 · round 1 · docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md","MATERIAL","MAJOR"
"1360-r1-4","1360-r1","pr-body","the unsourced `85% (~170k)` and the unsourced `+10–15%` / `−5%` deltas are demoted to `INCONCLUSIVE-needs-human`, with the *direction* now measured rather than deduced","PR #1360 · round 1 · docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md","MATERIAL","MAJOR"
"1360-r1-5","1360-r1","pr-body","four citation years corrected against their sources","PR #1360 · round 1 · docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md","MATERIAL-b","MAJOR"
"1360-r1k-1","1360-r1","pr-body","**404 anchor.** Rev 1 cited `codingfleet.com/blog/…-actually-use-1m-2026/` → HTTP 404. The article is real at `…-use-1m-tokens-2026/` (2026-05-29) and both quoted strings reproduce there verbatim. Slug fixed; now 200. Not a CI risk either way — `lychee.toml:37` excludes research-patches from the live link audit by design.","PR #1360 · round 1 · docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md","IMMATERIAL","MINOR"
"1360-r1k-2","1360-r1","pr-body","**The same anchor was leaned on in two opposite directions:** rated «WEAK» in §findings and «the strongest external anchor» in §calibrated-parameters. Probed — its metric set is MRCR v2 / NIAH-2 / Graphwalks / NoLiMa, i.e. **retrieval**, the exact class the patch demotes source 1.6 for. Rev 2 re-rates it `NO MATCH` in both places and replaces the anchor claim.","PR #1360 · round 1 · docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md","MATERIAL","MINOR"
"1360-r1k-3","1360-r1","pr-body","**Two «2026» sources are 2025:** `claude-code#13239` → `gh api` says `created_at 2025-12-06`; the Addy Osmani post → 2025-12-19 (its title's «2026» is its subject, not its date). Both corrected. The cold audit independently caught a third of the same shape (arXiv 2505 → May 2025).","PR #1360 · round 1 · docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md","MATERIAL-b","MINOR"
"1360-r1k-4","1360-r1","pr-body","**An unsourced causal attribution:** «18-day **export-control** suspension» of Fable 5. The cited Anthropic page documents the suspension (06-12) and restoration (07-01) and states **no reason**. Attribution removed; the interval is also 19 days, not 18.","PR #1360 · round 1 · docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md","MATERIAL-b","MINOR"
"1360-r1k-5","1360-r1","pr-body","**Imprecise comparator:** «76% … vs predecessor's 18.5%» — the source attributes 18.5% to **Sonnet 4.5** on MRCR v2 8-needle 1M. Corrected.","PR #1360 · round 1 · docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md","IMMATERIAL","MINOR"
"1360-r2-1","1360-r2","pr-body","a ranking withdrawn in prose but left standing in the table that summarised it (both cells now read `UNRANKED`)","PR #1360 · round 2 · docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md","MATERIAL","MAJOR"
"1360-r2-2","1360-r2","pr-body","two *new* negative-existence claims that rev 2 had substituted for the falsified ones without the §3 checklist they owe (both rescoped to this sweep's coverage — the base rate is the argument, since 2 of 4 such claims died when actually searched)","PR #1360 · round 2 · docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md","MATERIAL","MAJOR"
"1360-r2-3","1360-r2","pr-body","three citations carrying no date at all, sitting under a rev-2 predicate that claimed «26/26 dates verified» (all dated; predicate corrected to 23/26 with the shortfall named). Probing the third surfaced a defect no audit had flagged: the `agentpatterns.ai` page cited for classifier signal 4.3 states the **opposite** of the claim attached to it — signal 4.3 now records `NO SUPPORTING SOURCE`","PR #1360 · round 2 · docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md","MATERIAL","MAJOR"
"1360-r3-1","1360-r3","pr-body","Row 1.12 carries no publication date, yet the coverage recount had counted it inside «dated 2026: 12 of 13» — the same aggregate-predicate shape a third time. Now «11 of 13»","PR #1360 · round 3 · docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md","MATERIAL-b","MAJOR"
"1360-r3-2","1360-r3","pr-body","The `~600k` upper falsifier was imported **across task classes** without disclosure: 1.10 measures judgment-class work, while the row it was attached to is scoped to *mechanical* tails — and the direction was wrong, since RQ2's measured finding is that mechanical work tolerates *more* context, so a valid transfer points to a mechanical ceiling at or above ~600k, not at it.","PR #1360 · round 3 · docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md","MATERIAL","MAJOR"
"1360-r3-3","1360-r3","pr-body","the Fable-5 disposition reads «COVERAGE WIDENED, STILL INSUFFICIENT FOR A THRESHOLD» instead of «PARTLY ANSWERED», on the seat's point that the old label signalled more resolution than one unreplicated source can carry","PR #1360 · round 3 · docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md:51","IMMATERIAL","MINOR"
