id,source,provenance,finding,context,class_start,orig_grade,stratum,class_final,status
"1358-r2-1","1358-r2","pr-body","preset-react-spa/package.json:11 is ""scripts""; the record now cites :15 and adds the two previously uncited presets.","PR #1358 · round 2 · packages/preset-react-spa/package.json","IMMATERIAL","MINOR","minor/immaterial","","removed"
"1346-r1-1","1346-r1","pr-body","text-level compression («Any F4b LANDING» vs the spec's unscoped «any landing» — substance supported by v3 §4)","PR #1346 · round 1 · docs/superpowers/specs/2026-08-09-session-bus-v2.md","IMMATERIAL","MINOR","minor/immaterial","IMMATERIAL","adjudicated"
"1349-r1-2","1349-r1","pr-body","debounce flag write leaked stderr on failure — redirect applied after the simple-command's own","PR #1349 · round 1 · packages/core/hooks/end-of-turn-reminder.sh","MATERIAL-b","MINOR","minor/material-b","IMMATERIAL","adjudicated"
"1349-r1-3","1349-r1","pr-body","three surviving mutations: `-1m` table branch, `1m-deep` tier, combined autonomy+ctx composition in the exit shim","PR #1349 · round 1 · packages/core/hooks/end-of-turn-reminder.test.ts","MATERIAL","MINOR","minor/material","MATERIAL","adjudicated"
"1333-r5-1","1333-r5","pr-body","on the live path this arm's precondition never occurs and every python rule falls to `{""provenance"":[],""tier"":2}` (45-python.sh:531)","PR #1333 · round 5 · setup.d/45-python.sh:531","MATERIAL","MINOR","minor/material","MATERIAL","adjudicated"
"1297-r1-1","1297-r1","pr-body","§3 authorized C1 to take umbrella B's named-owner First-Steps SSOT, contradicting B-D5 (`beta-docs-showcase-design.md:156-161`) and the kickoff's own park contract","PR #1297 · round 1 · .claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md","MATERIAL","BLOCKER","major/material","MATERIAL","adjudicated"
"1297-r1-2","1297-r1","pr-body","D1 named `tier-home.md` (A-S3-owned) and `.ai-factory/RULES.md` as relocation targets; the latter is `copy_safe`-installed from preset packages (`setup.d/30-templates.sh:25,27,29`)","PR #1297 · round 1 · setup.d/30-templates.sh:25,27,29","MATERIAL","BLOCKER","major/material","MATERIAL","adjudicated"
"1297-r1-3","1297-r1","pr-body","spec clause «npm path once live» (`spec:348`) silently dropped","PR #1297 · round 1 · .claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md","UNRECOVERABLE","MAJOR","major/unrecoverable","MATERIAL","adjudicated"
"1297-r1-4","1297-r1","pr-body","`REQUIRED_HEADER_DOCS` cited `:28-53`, truncated before the template precedent","PR #1297 · round 1 · .claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md","UNRECOVERABLE","MAJOR","major/unrecoverable","MATERIAL","adjudicated"
"1297-r1-5","1297-r1","pr-body","two evidence lines falsified at the very SHA the kickoff cites","PR #1297 · round 1 · .claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md","MATERIAL","MAJOR","major/material","MATERIAL","adjudicated"
"1297-r1-6","1297-r1","pr-body","parity fixture's source unspecified — degradable to a file compared with itself, making the seeded-red impossible","PR #1297 · round 1 · .claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md","UNRECOVERABLE","MAJOR","major/unrecoverable","MATERIAL","adjudicated"
"1360-r1-1","1360-r1","pr-body","kickoff §3 makes the 6-item checklist binding on negative-existence claims, rev 1 made four and discharged none, and running it **falsified two of them**","PR #1360 · round 1 · docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md","MATERIAL","MAJOR","major/material","MATERIAL","adjudicated"
"1360-r3-1","1360-r3","pr-body","Row 1.12 carries no publication date, yet the coverage recount had counted it inside «dated 2026: 12 of 13» — the same aggregate-predicate shape a third time.","PR #1360 · round 3 · docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md","MATERIAL-b","MAJOR","major/material-b","IMMATERIAL","adjudicated"
"1360-r3-2","1360-r3","pr-body","The `~600k` upper falsifier was imported **across task classes** without disclosure: 1.10 measures judgment-class work, while the row it was attached to is scoped to *mechanical* tails — and the direction was wrong, since RQ2's measured finding is that mechanical work tolerates *more* context, so a valid transfer points to a mechanical ceiling at or above ~600k, not at it.","PR #1360 · round 3 · docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md","MATERIAL","MAJOR","major/material","MATERIAL","adjudicated"
"1353-r1-1","1353-r1","pr-body","the criterion-3 tier assertion used `""$RULE_ID""[^}]*""tier"":0`, which cannot cross the `}` closing the first provenance object, so it bound the provenance SOURCE's tier — a synthetic lock with rule-tier 2 and a Tier-0 source PASSED, the exact derived-vs-accidental conflation criterion 3 forbids.","PR #1353 · round 1 · tests/install-sh/python-rules-lock.test.sh","MATERIAL","MAJOR","major/material","MATERIAL","adjudicated"
"1353-r1-2","1353-r1","pr-body","criterion 7 had no assertion anywhere, in this diff or the standing suite.","PR #1353 · round 1 · packages/core/synthesizer/emit.test.ts","MATERIAL","MAJOR","major/material","MATERIAL","adjudicated"
"1358-r1-2","1358-r1","pr-body","**Step (5) asserted file size while printing «loaded».** `readFileSync(...).length > 100` passes on any file over 100 bytes, so a truncated bundle shipped green.","PR #1358 · round 1 · tests/consumer-matrix/npm-tarball-cell.sh:167","MATERIAL","MAJOR","major/material","MATERIAL","adjudicated"
"1349-r1-1","1349-r1","pr-body","install-sh fingerprints not regenerated → deterministic red snapshot gate","PR #1349 · round 1 · tests/install-sh/baselines/","MATERIAL","BLOCKER","major/material","MATERIAL","adjudicated"
