id,class_final,layer_final,whose_final,c0_class,c1_class,c1_layer,c1_whose,c2_class,c2_layer,c2_whose,scored_subset
1297-r1-11,MATERIAL,plan,reviewer,MATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1297-r1-12,MATERIAL,implementation,reviewer,MATERIAL,MATERIAL,implementation,reviewer,MATERIAL,plan,reviewer,1
1297-r1-13,IMMATERIAL,implementation,reviewer,IMMATERIAL,MATERIAL,plan,advisor,MATERIAL,architecture,advisor,1
1297-r1-14,IMMATERIAL,plan,reviewer,IMMATERIAL,MATERIAL,plan,reviewer,IMMATERIAL,implementation,reviewer,1
1297-r1-15,IMMATERIAL,implementation,reviewer,IMMATERIAL,IMMATERIAL,plan,reviewer,IMMATERIAL,implementation,reviewer,1
1297-r1-16,IMMATERIAL,plan,reviewer,IMMATERIAL,MATERIAL,plan,reviewer,MATERIAL,architecture,reviewer,1
1297-r1-17,MATERIAL,plan,reviewer,IMMATERIAL,MATERIAL,plan,reviewer,MATERIAL,plan,advisor,1
1297-r1-18,IMMATERIAL,plan,reviewer,IMMATERIAL,IMMATERIAL,plan,reviewer,MATERIAL,plan,advisor,1
1297-r1-19,MATERIAL,plan,reviewer,IMMATERIAL,IMMATERIAL,plan,reviewer,MATERIAL,plan,reviewer,1
1302-r1-1,IMMATERIAL,implementation,reviewer,IMMATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1311-r1-1,MATERIAL,implementation,reviewer,MATERIAL,MATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1311-r1-2,MATERIAL,architecture,reviewer,MATERIAL,MATERIAL,implementation,reviewer,MATERIAL,design,reviewer,1
1311-r1-3,MATERIAL,implementation,reviewer,MATERIAL,MATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1311-r1-4,MATERIAL,implementation,reviewer,MATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1311-r1-5,MATERIAL,implementation,reviewer,IMMATERIAL,MATERIAL,implementation,reviewer,MATERIAL,implementation,reviewer,1
1329-r1-1,MATERIAL,implementation,reviewer,MATERIAL,IMMATERIAL,implementation,reviewer,MATERIAL,implementation,reviewer,1
1329-r1-2,MATERIAL,implementation,reviewer,MATERIAL,IMMATERIAL,implementation,reviewer,MATERIAL,implementation,reviewer,1
1329-r2-1,MATERIAL,implementation,reviewer,MATERIAL,IMMATERIAL,implementation,reviewer,MATERIAL,implementation,reviewer,1
1332-r1-1,MATERIAL,implementation,reviewer,MATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1332-r1-2,IMMATERIAL,implementation,reviewer,IMMATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1332-r1-3,IMMATERIAL,implementation,reviewer,IMMATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1333-r3-1,MATERIAL,implementation,reviewer,MATERIAL,MATERIAL,design,advisor,MATERIAL,implementation,reviewer,1
1333-r4-1,MATERIAL,implementation,reviewer,MATERIAL,IMMATERIAL,implementation,reviewer,MATERIAL,implementation,reviewer,1
1333-r5-1,MATERIAL,implementation,reviewer,IMMATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1341-r1-1,MATERIAL,implementation,reviewer,,MATERIAL,implementation,reviewer,MATERIAL,implementation,reviewer,0
1341-r1-2,MATERIAL,implementation,reviewer,,MATERIAL,implementation,reviewer,MATERIAL,implementation,reviewer,0
1341-r1-3,MATERIAL,implementation,reviewer,,MATERIAL,implementation,reviewer,MATERIAL,implementation,reviewer,0
1341-r1-4,MATERIAL,implementation,reviewer,,MATERIAL,implementation,reviewer,MATERIAL,implementation,reviewer,0
1341-r1-5,MATERIAL,implementation,reviewer,,IMMATERIAL,implementation,reviewer,MATERIAL,implementation,reviewer,0
1346-r1-1,IMMATERIAL,implementation,reviewer,IMMATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1349-r1-1,MATERIAL,implementation,reviewer,MATERIAL,IMMATERIAL,implementation,reviewer,MATERIAL,implementation,reviewer,1
1349-r1-2,MATERIAL,implementation,reviewer,IMMATERIAL,MATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1349-r1-3,MATERIAL,implementation,reviewer,IMMATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1353-r1-1,MATERIAL,implementation,reviewer,MATERIAL,MATERIAL,implementation,reviewer,MATERIAL,implementation,reviewer,1
1353-r1-2,MATERIAL,implementation,reviewer,MATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1353-r1-3,MATERIAL,architecture,reviewer,MATERIAL,MATERIAL,implementation,reviewer,MATERIAL,implementation,reviewer,1
1353-r1-4a,MATERIAL,implementation,reviewer,MATERIAL,MATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1353-r1-4b,MATERIAL,implementation,reviewer,MATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1353-r1-4c,IMMATERIAL,implementation,reviewer,MATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1353-r1-4d,IMMATERIAL,design,advisor,MATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1353-r2-1,MATERIAL,implementation,reviewer,MATERIAL,MATERIAL,implementation,reviewer,MATERIAL,implementation,reviewer,1
1353-r3-1,IMMATERIAL,implementation,reviewer,IMMATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1353-r3-2,IMMATERIAL,implementation,reviewer,IMMATERIAL,IMMATERIAL,implementation,reviewer,MATERIAL,implementation,reviewer,1
1358-r1-1,MATERIAL,implementation,reviewer,MATERIAL,IMMATERIAL,implementation,reviewer,MATERIAL,implementation,reviewer,1
1358-r1-2,MATERIAL,implementation,reviewer,MATERIAL,MATERIAL,implementation,reviewer,MATERIAL,implementation,reviewer,1
1358-r1-3,MATERIAL,implementation,reviewer,IMMATERIAL,MATERIAL,implementation,reviewer,MATERIAL,implementation,reviewer,1
1358-r1-4,MATERIAL,implementation,reviewer,IMMATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1358-r2-1,IMMATERIAL,implementation,reviewer,IMMATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1358-r3-1,IMMATERIAL,implementation,reviewer,IMMATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1360-r1-1,MATERIAL,plan,reviewer,MATERIAL,MATERIAL,architecture,reviewer,MATERIAL,architecture,reviewer,1
1360-r1-2,MATERIAL,plan,reviewer,MATERIAL,IMMATERIAL,implementation,reviewer,MATERIAL,plan,reviewer,1
1360-r1-3,MATERIAL,design,reviewer,MATERIAL,IMMATERIAL,implementation,reviewer,MATERIAL,architecture,reviewer,1
1360-r1-4,MATERIAL,design,reviewer,MATERIAL,MATERIAL,plan,advisor,MATERIAL,implementation,reviewer,1
1360-r1-5,IMMATERIAL,implementation,reviewer,MATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1360-r1k-1,IMMATERIAL,implementation,reviewer,IMMATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1360-r1k-2,MATERIAL,implementation,reviewer,IMMATERIAL,MATERIAL,implementation,reviewer,MATERIAL,architecture,reviewer,1
1360-r1k-3,IMMATERIAL,implementation,reviewer,IMMATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1360-r1k-4,IMMATERIAL,implementation,reviewer,IMMATERIAL,IMMATERIAL,implementation,reviewer,MATERIAL,plan,reviewer,1
1360-r1k-5,IMMATERIAL,implementation,reviewer,IMMATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1360-r2-1,MATERIAL,implementation,reviewer,MATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1360-r2-2,MATERIAL,plan,reviewer,MATERIAL,MATERIAL,plan,advisor,MATERIAL,design,reviewer,1
1360-r2-3,MATERIAL,plan,reviewer,MATERIAL,MATERIAL,implementation,reviewer,MATERIAL,design,reviewer,1
1360-r3-1,IMMATERIAL,implementation,reviewer,MATERIAL,IMMATERIAL,implementation,reviewer,MATERIAL,implementation,reviewer,1
1360-r3-2,MATERIAL,design,reviewer,MATERIAL,MATERIAL,design,advisor,MATERIAL,design,reviewer,1
1360-r3-3,IMMATERIAL,implementation,reviewer,IMMATERIAL,MATERIAL,implementation,advisor,IMMATERIAL,implementation,reviewer,1
1341-r7-1,MATERIAL,implementation,reviewer,IMMATERIAL,MATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1341-r7-2,MATERIAL,implementation,reviewer,IMMATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1341-r7-3,MATERIAL,implementation,reviewer,IMMATERIAL,MATERIAL,implementation,reviewer,MATERIAL,implementation,reviewer,1
1341-r7-4,MATERIAL,implementation,reviewer,IMMATERIAL,MATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1341-r7-5,IMMATERIAL,implementation,reviewer,IMMATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1341-r7-6,IMMATERIAL,implementation,reviewer,IMMATERIAL,MATERIAL,implementation,reviewer,MATERIAL,implementation,advisor,1
1376-td1-1,MATERIAL,design,reviewer,MATERIAL,MATERIAL,architecture,reviewer,MATERIAL,architecture,advisor,1
1376-td1-2,MATERIAL,architecture,reviewer,MATERIAL,MATERIAL,design,reviewer,MATERIAL,design,advisor,1
1376-td1-3,MATERIAL,architecture,advisor,MATERIAL,MATERIAL,design,advisor,MATERIAL,design,advisor,1
1376-td1-4,MATERIAL,architecture,reviewer,MATERIAL,MATERIAL,design,advisor,MATERIAL,architecture,advisor,1
1376-td1-5,MATERIAL,architecture,reviewer,MATERIAL,MATERIAL,implementation,reviewer,MATERIAL,design,advisor,1
1376-td1-6,MATERIAL,design,reviewer,MATERIAL,MATERIAL,design,advisor,IMMATERIAL,plan,reviewer,1
1376-td1-7,MATERIAL,architecture,reviewer,MATERIAL,MATERIAL,architecture,reviewer,MATERIAL,design,advisor,1
1376-td1-8,MATERIAL,design,operator-floor,MATERIAL,MATERIAL,design,advisor,MATERIAL,architecture,advisor,1
1376-td1-9,MATERIAL,design,reviewer,MATERIAL,MATERIAL,implementation,reviewer,IMMATERIAL,plan,reviewer,1
1376-td1-10,MATERIAL,plan,advisor,MATERIAL,IMMATERIAL,plan,reviewer,MATERIAL,architecture,operator-floor,1
1376-td1-11,MATERIAL,architecture,advisor,MATERIAL,MATERIAL,architecture,reviewer,MATERIAL,design,advisor,1
1376-td1-12,MATERIAL,design,operator-floor,,MATERIAL,idea,operator-floor,MATERIAL,idea,operator-floor,0
1376-td1-13,MATERIAL,design,operator-floor,,MATERIAL,idea,operator-floor,MATERIAL,idea,operator-floor,0
1376-td1-14,IMMATERIAL,implementation,reviewer,IMMATERIAL,MATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1376-td1-15,MATERIAL,design,reviewer,IMMATERIAL,MATERIAL,design,advisor,MATERIAL,design,advisor,1
1376-td1-16,IMMATERIAL,implementation,reviewer,IMMATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1376-td1-17,MATERIAL,plan,reviewer,IMMATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,plan,reviewer,1
1376-td1-18,MATERIAL,plan,reviewer,IMMATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,plan,reviewer,1
1376-bu1-1,MATERIAL,design,reviewer,MATERIAL,MATERIAL,implementation,reviewer,MATERIAL,architecture,reviewer,1
1376-bu1-2,MATERIAL,architecture,reviewer,MATERIAL,MATERIAL,architecture,reviewer,MATERIAL,design,reviewer,1
1376-bu1-3,MATERIAL,implementation,reviewer,MATERIAL,MATERIAL,implementation,reviewer,MATERIAL,implementation,reviewer,1
1376-bu1-4,MATERIAL,plan,reviewer,MATERIAL,MATERIAL,implementation,reviewer,MATERIAL,plan,reviewer,1
1376-bu1-5,MATERIAL,implementation,reviewer,MATERIAL,MATERIAL,implementation,reviewer,MATERIAL,implementation,reviewer,1
1376-bu1-6,IMMATERIAL,implementation,reviewer,IMMATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1376-bu1-7,MATERIAL,implementation,reviewer,IMMATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1376-bu1-8,MATERIAL,implementation,reviewer,IMMATERIAL,MATERIAL,implementation,reviewer,MATERIAL,implementation,reviewer,1
1376-bu1-9,IMMATERIAL,implementation,reviewer,IMMATERIAL,IMMATERIAL,plan,reviewer,MATERIAL,implementation,reviewer,1
1376-bu1-10,MATERIAL,plan,reviewer,IMMATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1376-bu1-11,MATERIAL,architecture,reviewer,IMMATERIAL,MATERIAL,idea,reviewer,MATERIAL,plan,advisor,1
1376-bu1-12,IMMATERIAL,plan,reviewer,IMMATERIAL,MATERIAL,design,reviewer,MATERIAL,plan,reviewer,1
1376-r2v-1,MATERIAL,implementation,reviewer,MATERIAL,MATERIAL,implementation,reviewer,MATERIAL,design,reviewer,1
1376-r2v-2,MATERIAL,implementation,reviewer,MATERIAL,MATERIAL,implementation,reviewer,MATERIAL,implementation,reviewer,1
1376-r2v-3,MATERIAL,architecture,advisor,MATERIAL,MATERIAL,plan,reviewer,MATERIAL,plan,advisor,1
1376-r2v-4,MATERIAL,design,reviewer,MATERIAL,MATERIAL,design,reviewer,MATERIAL,design,reviewer,1
1376-r2v-5,MATERIAL,plan,reviewer,MATERIAL,MATERIAL,implementation,advisor,MATERIAL,implementation,reviewer,1
1376-r2v-6,MATERIAL,design,reviewer,IMMATERIAL,IMMATERIAL,implementation,reviewer,MATERIAL,design,reviewer,1
1376-r2v-7,MATERIAL,plan,reviewer,IMMATERIAL,MATERIAL,plan,reviewer,MATERIAL,implementation,reviewer,1
1376-r2v-8,IMMATERIAL,plan,reviewer,IMMATERIAL,IMMATERIAL,implementation,reviewer,MATERIAL,design,advisor,1
1376-r2v-9,MATERIAL,plan,reviewer,IMMATERIAL,IMMATERIAL,plan,reviewer,MATERIAL,implementation,reviewer,1
1376-fid1-1,IMMATERIAL,implementation,reviewer,IMMATERIAL,MATERIAL,plan,advisor,MATERIAL,plan,reviewer,1
1376-fid1-2,MATERIAL,plan,reviewer,IMMATERIAL,IMMATERIAL,implementation,reviewer,MATERIAL,plan,reviewer,1
1376-fid1-3,MATERIAL,plan,reviewer,IMMATERIAL,MATERIAL,plan,advisor,MATERIAL,plan,reviewer,1
1376-fid1-4,IMMATERIAL,implementation,reviewer,IMMATERIAL,IMMATERIAL,implementation,reviewer,MATERIAL,implementation,reviewer,1
1376-fid1-5,MATERIAL,architecture,reviewer,IMMATERIAL,IMMATERIAL,design,reviewer,IMMATERIAL,plan,reviewer,1
kl-1292-1,MATERIAL,design,advisor,,MATERIAL,design,advisor,IMMATERIAL,design,reviewer,0
kl-1296-1,MATERIAL,design,advisor,,IMMATERIAL,idea,operator-floor,IMMATERIAL,plan,operator-floor,0
kl-1305-1,MATERIAL,plan,advisor,,MATERIAL,plan,reviewer,IMMATERIAL,plan,reviewer,0
kl-1315-1,MATERIAL,plan,reviewer,,MATERIAL,plan,reviewer,MATERIAL,plan,reviewer,0
kl-1317-1,MATERIAL,plan,reviewer,,MATERIAL,plan,reviewer,MATERIAL,plan,reviewer,0
kl-1328-1,IMMATERIAL,plan,reviewer,,MATERIAL,plan,reviewer,MATERIAL,plan,reviewer,0
kl-1295-1,MATERIAL,plan,advisor,,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,0
kl-1310-1,MATERIAL,architecture,reviewer,,MATERIAL,design,reviewer,MATERIAL,design,reviewer,0
kl-1318-1,MATERIAL,plan,reviewer,,MATERIAL,implementation,reviewer,MATERIAL,plan,reviewer,0
kl-1319-1,IMMATERIAL,implementation,reviewer,,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,0
kl-1324-1,IMMATERIAL,plan,reviewer,,IMMATERIAL,design,reviewer,IMMATERIAL,implementation,reviewer,0
kl-1340-1,MATERIAL,plan,reviewer,,MATERIAL,design,advisor,MATERIAL,design,advisor,0
kl-1351-1,MATERIAL,plan,advisor,,IMMATERIAL,plan,reviewer,IMMATERIAL,plan,reviewer,0
