id,class_cold,layer_cold,whose_cold,rationale
1376-bu1-7,MATERIAL,implementation,reviewer,says S4 under-graded «3»
1376-bu1-8,MATERIAL,implementation,reviewer,one `label_start` split is unrecoverable
1376-bu1-9,IMMATERIAL,implementation,reviewer,ambiguous self-reference in §9
1376-fid1-1,IMMATERIAL,implementation,reviewer,§1/§4 state the promptfoo capability commit unconditionally while §9 defers it
1376-fid1-2,MATERIAL,plan,reviewer,D-K3's decision text was not amended to record the probe-primary flip
1376-fid1-3,MATERIAL,plan,reviewer,one mandate-enumerated candidate has no disposition in this spec
1376-fid1-4,IMMATERIAL,implementation,reviewer,§13 names the r1 reports by filenames that do not exist
1376-fid1-5,MATERIAL,architecture,reviewer,S0 is itself a micro corpus-assembly + operator adjudication under the same §...
1376-r2v-1,MATERIAL,implementation,reviewer,"`orig_grade` leaks into the corpus through the verbatim finding text, so the ..."
1376-r2v-2,MATERIAL,implementation,reviewer,the anti-leakage probe fails S1 deterministically on correctly-built rows
1376-r2v-3,MATERIAL,architecture,advisor,`arch-reviews.csv` and `research-forks.csv` cannot be built under the §2 extr...
1376-r2v-4,MATERIAL,implementation,reviewer,`UNRECOVERABLE` rows have no route to `class_final`
1376-r2v-5,MATERIAL,implementation,reviewer,"the §13 gate note tells the operator the C0 repair softened ESCALATED-2, when..."
1376-r2v-6,IMMATERIAL,design,reviewer,"«beyond the noise floor» is stated as an apparatus, not a decision rule"
1376-r2v-7,MATERIAL,plan,reviewer,ESCALATED-1's §13 summary drops the half that grounds it
1376-r2v-8,IMMATERIAL,plan,reviewer,D-AP4 has no «journal volume» trigger
1376-r2v-9,IMMATERIAL,implementation,reviewer,S1's «~0 (mechanical)» estimate predates the S1 the r1 repairs produced
1376-td1-1,MATERIAL,design,advisor,the acceptance rule scores 1 of the classifier's 3 outputs; the other two shi...
1376-td1-10,MATERIAL,plan,advisor,P6's «cheap» condition is a recorded premise with no estimate anywhere in the...
1376-td1-11,MATERIAL,architecture,advisor,"the bench cannot measure the quantity §5's asymmetry rests on, and D-K5's fal..."
1376-td1-12,IMMATERIAL,design,advisor,proportionality of *this scale* of measurement is an unrecorded value premise
1376-td1-13,MATERIAL,design,operator-floor,whether a null result («no layer beats the bar») is worth the corpus's full cost
1376-td1-14,IMMATERIAL,implementation,reviewer,`pr-body-fidelity.ts:165` does not contain the claim it is cited for
1376-td1-15,MATERIAL,design,advisor,κ's prevalence paradox is unguarded
1376-td1-16,IMMATERIAL,implementation,reviewer,first tracked `.csv` under `docs/`
1376-td1-17,MATERIAL,plan,reviewer,no §self-application section
1376-td1-18,IMMATERIAL,implementation,reviewer,S1's ownership of judgment fields is unstated
1376-td1-2,MATERIAL,architecture,reviewer,the C0 bar is unusable in both of its arms: arm (a) is constant-by-constructi...
1376-td1-3,MATERIAL,architecture,advisor,circularity: every label producer shares the judge's provenance and rubric so...
1376-td1-4,MATERIAL,architecture,reviewer,construct-validity gap: the bench measures a third-party judge on decontextua...
1376-td1-5,MATERIAL,architecture,reviewer,label leakage into the corpus text: `context` will be mined from the audit's ...
1376-td1-6,MATERIAL,plan,reviewer,the acceptance rule has no noise floor and an undefined reference for its sec...
1376-td1-7,MATERIAL,architecture,advisor,missing population: `/arch` design-review findings are absent from the corpus...
1376-td1-8,MATERIAL,design,advisor,"the hardest stratum (MATERIAL-b, ~16%) is resolved by a single adjudicator wi..."
1376-td1-9,IMMATERIAL,implementation,reviewer,"S3 seeds `decisions.md` with ~50 synthetic batch entries, tripping the D-K4 /..."
kl-1292-1,MATERIAL,design,advisor,the lanes disagree about what `RulesLock.version` means
kl-1295-1,IMMATERIAL,implementation,reviewer,Records the operator's 2026-08-08 batch resolving the six forks parked in the...
kl-1296-1,MATERIAL,design,operator-floor,Records the operator decision on the `RulesLock.version` semantics fork
kl-1305-1,IMMATERIAL,plan,reviewer,Records the operator's decisions on the three remaining S1 parks
kl-1310-1,MATERIAL,architecture,reviewer,§7a has no channel connecting the key's storage to the process that must read it
kl-1315-1,MATERIAL,plan,reviewer,the two omitted permitted-files entries the auditor flagged
kl-1317-1,MATERIAL,plan,reviewer,two further files the change provably forces are still outside §2
kl-1318-1,IMMATERIAL,implementation,reviewer,"facts that only exist on the **host**, plus the run-2 defects that had no ins..."
kl-1319-1,IMMATERIAL,implementation,reviewer,one of its *path citations* — and that one is mine
kl-1324-1,IMMATERIAL,plan,reviewer,dispatch facts for run 4. Not a re-plan: §7e's design stands untouched
kl-1328-1,IMMATERIAL,plan,reviewer,"Three repairs to the S1 kickoff, all surfaced by the round-5 cold delta audit"
kl-1340-1,MATERIAL,plan,reviewer,"weaken §7a #3's completion proof, or weaken §2 constraint 1's key-handling in..."
kl-1351-1,MATERIAL,plan,operator-floor,Records the operator's answers to the two questions the unattended run logged...
