id,stratum,outcome,cost,witness,rationale
1290-r2-1,A,HOLDS,N/A,docs/superpowers/specs/2026-08-07-s-d-prime-subtraction-maps.md:250-251,"Strengthening claim corrected in PR #1294 which resolved DECISION-NEEDED. Lines 250-251 now correctly state: Its band floor 3,708 clears every harness-block ceiling except the hook injects 3,735 (band floor vs hook ceiling comparison, not band floor vs hook floor)."
1290-r2-2,A,HOLDS,N/A,"docs/superpowers/specs/2026-08-07-s-d-prime-subtraction-maps.md:230,237","All instances of 6,903 verified correct in current text. Line 230 states 3,708-6,903 est-tokens. Line 237 shows band 3,708-6,903 @ 1.835-3.416 B/t. Line 284 cites band ~3,708-6,903. This is the corrected figure from PR #1290."
1290-r2-3,A,HOLDS,N/A,"docs/superpowers/specs/2026-08-07-s-d-prime-subtraction-maps.md:363,377","Percentage corrected to -20.5% in current text. Line 363 states this stages -20.5% does not touch. Line 377 shows -15,942 B (-20.5%) in the TOTAL row. This is the corrected figure from PR #1290."
1297-r1-1,A,HOLDS,N/A,.claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md:189-207,"C1 authored First-Steps SSOT per §3 decision as documented in beta-docs-showcase-design.md:164-179, amending B-D5 default-owner rule to handle B-D6 deferral case; separate commit mechanism applied with maintainer sign-off flag"
1297-r1-2,A,HOLDS,N/A,.claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md:85-88,kickoff §2 D1 correctly states tier-home.md is A-S3-owned and .ai-factory/RULES.md is copy_safe-installed from preset packages; not named as relocation targets
1297-r1-3,A,HOLDS,N/A,.claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md:169-173,"npm path clause preserved as deferral with owner+trigger line: spec 348 names it as part of C1, publication is release-frame phase 2 after R1 name freeze"
1297-r1-4,A,HOLDS,N/A,.claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md:53-54,kickoff §1 row 1 documents A-S4 has NOT merged and covers both INSTALL-FOR-AI.md and setup.d/** contention analysis; sequence after merge guidance present
1297-r1-5,A,HOLDS,N/A,.claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md:121-128,co-ownership AC in §2 D1b covers case (c): consumer AGENTS.md that is fence-less copy of older template; exactly what exists in field for consumers installed before this stage
1297-r1-6,A,HOLDS,N/A,.claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md:268-283,inherited traps T2/T14/T15 all present in §6; T15 specifically marked as mandatory per ai-laziness-traps.md §4 self-protection-omitted
1297-r1-7,A,HOLDS,N/A,.claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md:89-96,≤150 park now priced with per-block ownership inventory requirement; every block must get KEEP-first-read/MOVE-to-<doc>/DROP verdict with line count
1297-r1-8,A,HOLDS,N/A,packages/core/audit-self/first-steps-parity.test.ts:1-127,"parity fixture specifies source as packages/core/templates/shared/first-steps.source.json (JSON, never markdown render); compares ordered step lists; makes seeded-red possible"
1297-r1-9,A,HOLDS,N/A,.claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md:144-149,REQUIRED_HEADER_DOCS correctly cites packages/core/principles/09-doc-authority-hierarchy.ts:28-141 with AGENTS.md.template:105 and tier-home.md:112 examples
1297-r1-10,A,HOLDS,N/A,.claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md:367-372,"## Provenance requirement explicitly states it makes FIDELITY: skipped mechanically unavailable via pr-body-fidelity.ts:44,147-152 precondition"
1297-r1-11,A,HOLDS,N/A,".claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md:223,279",baseline correctly states 33 rows across 7 surfaces in §1 row 4 table and §6 T14; numbers match throughout
1297-r1-12,A,HOLDS,N/A,.claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md:54,§1 row 2 fact measured: grep -rn First Steps --include=*.md . finds 14 lines in 6 files including umbrella B kickoff:58 naming BS2 as First-Steps owner
1297-r1-13,A,HOLDS,N/A,.claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md:55,bridge health causal claim in §1 row 3 marked as informational only; states gate stays shut regardless of /health status
1297-r1-14,A,HOLDS,N/A,.claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md:169-173,npm path clause not silently dropped; preserved as deferral with explicit owner+trigger line naming R1 per spec R4
1297-r1-15,A,HOLDS,N/A,.claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md:144-149,citation format uses required packages/core/principles/09-doc-authority-hierarchy.ts module with array range :28-141; template precedent examples properly cited
1297-r1-16,A,HOLDS,N/A,.claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md:56-57,600-line pre-commit gate flagged in §1 row 5: INSTALL-FOR-AI.md = 563 lines against 600-line gate at .husky/pre-commit:77
1297-r1-17,A,HOLDS,N/A,.claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md:313-333,park-don't-guess contract §7 documents recording parks in park payload AND PR's Parked questions section; correction lands as separate owner commit
1297-r1-18,A,HOLDS,N/A,.claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md:382-389,pre-flight before gh pr create includes four grep/awk commands that validate §1.7 sections have ≥40 chars and ≥2 file:line citations
1297-r1-19,A,HOLDS,N/A,AGENTS.md:3-7,AGENTS.md scope statement at lines 3-7 clarifies authoritative for off-CC harnesses; NOT authoritative for project goal or CC-specific session boot which live in README.md and CLAUDE.md
1302-r1-1,A,HOLDS,N/A,scripts/render-rule-index.mjs:8,"All three stale-prose anchors fixed in PR #1302 r1 cold review and verified correct today: (1) render-rule-index.mjs:8 changed from ""3 Tier-0"" to ""2 Tier-0"" matching actual TIER0_CORE set size (lines 56-59 show 2 entries: attention-is-not-a-mechanism, ai-laziness-digest); (2) packages/core/principles/31-rule-channel-declaration.test.ts:133 comment changed from ""4-entry"" to ""3-entry"" matching actual ALWAYS_ON_CORE length (lines 59-62 show 3 entries); (3) .claude/rules/build-first-reuse-default.md:131 now correctly references ""this rule's `paths:` globs (frontmatter above)"" instead of stale §1.2 refs. Git history shows no subsequent edits that would re-stale these anchors."
1311-r1-1,A,HOLDS,N/A,packages/core/templates/shared/AI-USAGE-GUIDE.md:229-232,"The ENOENT caveat for monorepo lint-staged resolution is explicitly present at lines 229-232 with the full explanation and fix guidance, showing the caveat was not dropped"
1311-r1-2,A,HOLDS,N/A,packages/core/templates/shared/AI-USAGE-GUIDE.md:178,"The /aif-doctor reference remains at line 178 as the diagnostic entry point for runtime misbehavior, still present in the current state"
1311-r1-3,A,HOLDS,N/A,packages/core/templates/shared/AI-USAGE-GUIDE.md:100-102,"The false upgrade claim was corrected in commits 501af27ea5 and ebb974afde to state that --refresh re-delivers fixes but does NOT reliably deepen an install, with the explicit warning about core projects"
1311-r1-4,A,HOLDS,N/A,packages/core/templates/shared/AGENTS.md.template:30,"The factory row at line 30 lists exactly 7 skills: pipeline, dispatcher, harvest, aif-doctor, night-mode, story, claude-glm-executor-handoff, which matches the actual operator suite count"
1311-r1-5,A,NEVER-DONE,NONE-FOUND,none,"The factory row at line 30 of AGENTS.md.template still lists only the 7-skill operator suite and does NOT mention the two factory-gated sub-agents orchestrator-worker-discipline and reviewer-discipline, which setup.d/20-agents.sh:33-38 shows are gated behind factory profile. Searched git log and AGENTS.md.template for any mention of these sub-agents in the factory row - none found. The finding stands unaddressed."
1329-r1-1,A,HOLDS,N/A,packages/core/templates/shared/AI-USAGE-GUIDE.md:100-102,PR #1329 fixed the false upgrade claim (B1). Current doc at lines 100-102 states: `--refresh re-delivers fixes to what you already have and does NOT reliably deepen an install. On a core project --refresh --profile env exits 0 while tier-home.md and .claude/skills/arch/ stay absent.` This measured claim holds per commit ebb974afde (#1332) which re-measured and corrected after a related PR made the original fix stale. The documented upgrade path now truthfully reflects actual installer behavior.
1329-r1-2,D,HOLDS,N/A,.github/workflows/audit-self.yml:178-185,"PR #1329 registered the parity gate by NAME in CI (lines 178-185 of audit-self.yml) and scripts/run-local-ci-sweep.sh. The registration includes load-bearing else-arm that fails if the test vanishes (line 183). Fixed per commit 501af27ea5 which addressed B2: `first-steps-parity.test.ts was registered in no runner at all` - now it runs in audit-self CI workflow and local sweep, gated by name not directory scope."
1329-r2-1,D,HOLDS,N/A,tests/install-sh/baselines/ts-server/greenfield.fingerprint:1,"Snapshot regeneration happened in both PR #1329 and #1332. PR #1329 commit message: `regenerated with SNAPSHOT_MODE=capture, not hand-edited... across all 11 files the diff is 11 added / 11 removed lines and every one of them is .ai-factory/AI-USAGE-GUIDE.md`. PR #1332 repeated the regeneration. Current baselines show the corrected AI-USAGE-GUIDE.md hashes (line 1 of ts-server/greenfield.fingerprint). Mechanism is tests/install-sh/snapshot.sh (lines 4-5 declare SNAPSHOT_MODE capture/compare)."
1332-r1-1,A,HOLDS,N/A,packages/core/templates/shared/AI-USAGE-GUIDE.md:98-102,"Current guide sentence states ""--refresh re-delivers fixes to what you already have and does not reliably deepen an install: on a core project --refresh --profile env exits 0 while tier-home.md and .claude/skills/arch/ stay absent"" — verified TRUE against install.sh:1091-1093 (tier-home presence-gated) and install.sh:1001-1005 (worktree-scripts arm with no profile check), exactly as INSTALL-FOR-AI.md:162 documents. The replacement claim from PR #1332 holds today."
1332-r1-2,A,HOLDS,N/A,INSTALL-FOR-AI.md:162,"INSTALL-FOR-AI.md correctly cites ""install.sh:678"" for the F7 gate — verified at install.sh:678 showing the actual F7 gate condition: ""if [ \""${PROFILE:-core}\"" = \""factory\"" ] || [ -n \""${WITH_AIF_SUITE:-}\"" ]"". The fix PR #1332 applied is present and correct."
1332-r1-3,A,HOLDS,N/A,INSTALL-FOR-AI.md:162,"INSTALL-FOR-AI.md correctly cites ""install.sh:1090-1093"" for the tier-home presence gate — verified at install.sh:1091-1093 showing the actual presence check: ""if [ -e \""$PROJECT_ROOT/.ai-factory/tier-home.md\"" ]; then"". The fix PR #1332 applied is present and correct."
1333-r3-1,C,HOLDS,N/A,packages/core/installer/install.ts:89,"The finding substance was addressed in PR #1333 commit 4f68ed560a. The installer/buildLock function now calls weakestTier(r.research.provenance, r.research.tier) which reads the tier stamped at synthesis time from the SynthesisPlan. The tier derivation is canonical in packages/core/synthesizer/tier.ts and applied by all three synthesis producers synthesize.ts synthesize.ts generate.ts menu-pick.ts at lines 100 90 61 respectively. The finding that tier was re-derived at install time collapsing to DEFAULT_TIER was fixed by stamping tier at synthesis per PARK-S1-2 Option C and the 2026-08-08 fork decision recorded in research patch 2026-08-08-rules-lock-version-semantics-fork.md section 9."
1333-r4-1,C,HOLDS,N/A,.github/workflows/audit-self.yml:457,The committed bundle at packages/core/install/synth-and-wire.bundle.mjs was rebuilt in PR #1333 commit 4f68ed560a as shown by git log. The drift gate at audit-self.yml line 457 runs scripts/build-synth-bundle.sh --check unconditionally. The bundle contains the tier.ts weakestTier implementation at lines 9293 9301 9770 showing tier derivation is properly bundled. The functional smoke test at lines 465-472 proves the bundle loads and synthesizes correctly. The drift check is still active and would fail if the bundle drifted from its source.
1333-r5-1,A,MOVED,N/A,setup.d/45-python.sh:539,The finding substance was addressed and the artifact MOVED. The original finding noted an unreachable arm at 45-python.sh 531 that caused every python rule to fall to tier 2. This was PARKED as PARK-S1-7 and later UNPARKED by PR #1353 commit 8d2e7173cf. The per-lane subdir generation-context/python was introduced and the fragment reader moved to use the per-lane subdir. The tier 2 fallback is now at line 539 in the else branch of _py_json_rules function and the comment at lines 527-529 explicitly states this is the DERIVED value for template rules with no research provenance. The arm precondition is now documented as intentional per PARK-S1-7 unpark decision.
1341-r1-1,A,HOLDS,N/A,docs/meta-factory/research-patches/2026-08-08-s4-glm-onebutton-entry-verification.md:279-283,"Coincidence guard documented in research patch: step D first written as single POST /chat carrying runtimeProfileId, appeared to pass because echoed profile matched by coincidence (pinned profile was already project default). Current code uses two-call form (session pin then completion) with explicit profile binding assertion at scripts/getff-glm-onebutton.sh:519-523."
1341-r1-2,A,HOLDS,N/A,tests/install-sh/glm-onebutton.test.sh:303-307,"N5 stub now fail-closed: comment at lines 303-307 explicitly states ""FAIL-CLOSED, same contract as base stub (§7e.6). This block previously carried a catch-all returning rc=0 and a create arm with no body rule."" Stub now includes full allowlist with explicit non-zero returns (lines 310, 311, 319, 320, 322, 323) and reject-all catch-all at line 325."
1341-r1-3,A,HOLDS,N/A,scripts/getff-glm-onebutton.sh:314-323,"PUT failure now fails closed: lines 314-323 show explicit rc!=0 check with return 1 on failure. Comment at 318-322 explains ""FAIL-CLOSED (§2 constraint 4). This branch used to warn and fall through to GLM_PROVISION: DONE"" — historical acknowledgment of the prior defect, now fixed."
1341-r1-4,A,HOLDS,N/A,tests/install-sh/glm-onebutton.test.sh:666-684,"Subshell vacuous assertion fixed: lines 666-684 show capture to _ND_SEEN_FILE (a temp file, not shell variable) because ""helper invokes curl inside $( ), so each stub call runs in its own subshell and a variable assignment dies with it"" (line 661-665). Paired negative at lines 717-738 confirms live wiring."
1341-r1-5,A,HOLDS,N/A,tests/install-sh/glm-onebutton.test.sh:459-465,"Leak block fail-closed: preflight stub at lines 459-465 uses `curl() { return 1; }` (explicit non-zero return), with comment at 455-458 explaining ""Fail-CLOSED even though curl never fires here — preflight env-file check returns before any request is made. return 0 was the caseless fail-open shape."""
1346-r1-1,A,NEVER-DONE,NONE-FOUND,none,"Current session-bus-v2.md:447 still carries the compressed scope text ""Any F4b LANDING"" while the v3 spec at 2026-08-09-autonomous-night-v3-design.md:375 uses the unscoped ""any landing"". The PR body/review finding identified this compression as MINOR/IMMATERIAL but the text was never corrected. No named artifact (research patch, rule, follow-up PR) exists to address this. Search verification: checked both spec files at line 447 and 375; searched git history showing no edits to this line after PR 1346; confirmed no session-bus kickoff artifacts exist under .claude/orchestrator-prompts/ to carry the compression."
1349-r1-1,D,HOLDS,N/A,tests/install-sh/baselines/ts-server/brownfield.fingerprint:1,"fingerprints regenerated 2026-08-16 17:13:12 per git log f6f9042ee7 which states ""8 fingerprints recaptured (the hook's sha256 line only)"", the baselines are current and deterministic red snapshot gate would not persist"
1349-r1-2,C,HOLDS,N/A,.claude/hooks/end-of-turn-reminder.sh:219,"debounce flag write uses brace-group redirect `{ : > ""$ctx_flag""; } 2>/dev/null` on line 219 with comment explaining ""failed flag write must go to /dev/null BEFORE the redirect list of the simple command is applied"", identical pattern also used on story flag at line 468"
1349-r1-3,A,HOLDS,N/A,"packages/core/hooks/end-of-turn-reminder.test.ts:1287,1317,1344","all three mutations now have test coverage: `-1m` table branch tested at lines 1287-1299 verifying both bracket and suffix spellings, `1m-deep` tier tested at lines 1317-1339 verifying re-fire after soft flag spent, autonomy+ctx composition tested at lines 1341-1356 verifying both halves survive in exit shim"
1353-r1-1,A,HOLDS,N/A,tests/install-sh/python-rules-lock.test.sh:455,"The criterion-3 tier assertion now uses `"",""provenance"":[[^]]*],""tier"":0` which binds the rule-level tier AFTER the `]` closing the provenance array, correctly crossing object boundaries and avoiding the source-tier binding defect."
1353-r1-2,A,HOLDS,N/A,packages/core/synthesizer/emit.test.ts:108,Criterion 7 now has a proper assertion (`it('writes a per-rule generation-context fragment for the Node synthesize lane (S1b criterion 7)'`) that binds generation-context/G1.json from the synthesize path with file existence + shape checks.
1353-r1-3,A,HOLDS,N/A,"tests/install-sh/python-rules-lock.test.sh:546,548","Lock-level checks now point at the correct `.ai-factory/synthesizer-output/rules-lock.{cargo,go}.json` paths (lines 546, 548) which is where cargo/go actually write per setup.d/46-cargo.sh:198-199 + 47-go.sh:164-165, not the non-existent .getff/ paths."
1353-r1-4a,A,HOLDS,N/A,tests/install-sh/python-rules-lock.test.sh:347,"The tsx-missing case now calls `bad ""(13) tsx not found — producer arm CANNOT run""` instead of skip, eliminating the skip-that-passes concealment on the proving arm."
1353-r1-4b,A,HOLDS,N/A,tests/install-sh/python-rules-lock.test.sh:402-404,"Criterion 3 now asserts all three provenance fields (url + allowlistKey + fetchedAt) via separate grep checks (lines 402-404), not just URL-only grep."
1353-r1-4c,A,HOLDS,N/A,tests/install-sh/python-rules-lock.test.sh:462-494,"The synthetic lock corpus now calls the real `_py_json_rules` through `PY_LAYER_LIB_ONLY=1` seam (lines 466-469), emitting the actual separator bytes instead of hand-copied `},{` joins."
1353-r1-4d,A,HOLDS,N/A,packages/core/synthesizer/emit.ts:89-94,The §2 justification for the second inline writer is documented at emit.ts:89-94 explaining the fork 2 / §3a option B design with fragment-per-rule composition rationale for shell lanes.
1353-r2-1,A,HOLDS,N/A,tests/install-sh/python-rules-lock.test.sh:455,"The tier pattern is now bounded with `[^]]*` instead of unbounded `.*`, preventing traversal past the researched rule's object into later rules in multi-rule arrays."
1353-r3-1,A,HOLDS,N/A,tests/install-sh/python-rules-lock.test.sh:462-494,"The proof corpus now emits synthetic locks via the real `_py_json_rules` function through the PY_LAYER_LIB_ONLY seam (lines 466-494), reproducing the exact `}, {` separator that the emitter uses."
1353-r3-2,A,HOLDS,N/A,setup.d/45-python.sh:517-521,"The audit-round narrative was removed from the shipped layer; the comment now states ""named rather than line-numbered: a line pointer into this same file goes stale the moment anything above the caller is edited"" without mentioning audit rounds or line numbers."
1358-r1-1,D,HOLDS,NONE-FOUND,Makefile:34-38,"The Makefile consumer-matrix target (lines 34-38) runs both pnpm-monorepo-cell.sh and npm-tarball-cell.sh. This wiring was fixed in round-2 per the PR commit message which states ""consumer-matrix now runs both cells (make -n consumer-matrix lists pnpm-monorepo-cell.sh AND npm-tarball-cell.sh)""."
1358-r1-2,A,HOLDS,NONE-FOUND,tests/consumer-matrix/npm-tarball-cell.sh:149-173,"Step (5) at lines 149-173 now uses three proper assertions: node --check for syntax integrity, grep for entry guard, and grep for tail export. Lines 156-166 explicitly document why the previous readFileSync().length > 100 approach was wrong (#contract-that-cannot-fail). This fix was applied in round-2 per the commit message."
1358-r1-3,A,HOLDS,NONE-FOUND,tests/consumer-matrix/npm-tarball-cell.sh:104-105,"LICENSE (line 104) and README.md (line 105) are both asserted in the by-path asset loop at step (4), ensuring these files are gated for arrival in the installed package. This addresses the MINOR finding about LICENSE/README gating."
1358-r1-4,A,HOLDS,NONE-FOUND,docs/meta-factory/getff-name-architecture-freeze.md:177,"The over-ship evidence is recorded in the before/after table at line 177: before (707 files) to after (494 files), Δ = -213 files (-30%). The table is present and correctly documents the file reduction achieved by the files allowlist."
1358-r2-1,A,HOLDS,NONE-FOUND,docs/meta-factory/getff-name-architecture-freeze.md:146,"Line 146 now correctly cites all four sibling packages with accurate line numbers: preset-react-spa/package.json:15, preset-next-15-canonical/package.json:15, preset-react-native/package.json:11, and meta-factory/package.json:13. This was fixed in round-2 per the commit message which notes ""line 11 of that file is scripts and its peerDependencies block is at :15""."
1358-r3-1,A,NEVER-DONE,NONE-FOUND,none,"The ""publishable-intent"" qualifier was dropped from line 146, leaving ""all four siblings do"" without the clarification of which four. While the four enumerated packages and their line numbers are correct (making the referent recoverable), the precision qualifier that would clarify the scope was never restored. No later commits modified this line after PR #1358."
1360-r1-1,A,HOLDS,N/A,docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md:157,"The §search-coverage section exists and documents the 6-item checklist. Line 157 contains the heading ""## §search-coverage — the 6-item checklist on this patch's negative-existence claims"". The section shows that two of four negative-existence claims were falsified when the checklist was actually run, exactly as the finding states."
1360-r1-2,A,HOLDS,N/A,"docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md:45,51","RQ1 now carries a per-tier disposition as seen in the table at lines 45-51. The table shows separate rows for ""Opus family"" (ANSWERED) and ""Fable 5"" (COVERAGE WIDENED, STILL INSUFFICIENT FOR A THRESHOLD), with the per-tier heading at line 45 stating ""Per-tier disposition (rev 2 — the RQ1 question is «onset *per model tier*»""."
1360-r1-3,A,HOLDS,N/A,docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md:233,"T_soft(200k) is parked as PARK-CDC-1 at line 233, which reads ""**PARK-CDC-1 — which quantity is `T_soft(200k)`?**"" The parked question section presents Option A (65% ~130k) and Option B (75% ~150k) rather than silently proposing 75%."
1360-r1-4,A,HOLDS,N/A,"docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md:261,276,277","The unsourced values are demoted to INCONCLUSIVE-needs-human. Line 261 shows the mechanical-tail uplift marked as ""**INCONCLUSIVE-needs-human**"". Lines 276-277 show the per-task-class deltas both marked as ""**INCONCLUSIVE-needs-human**"" with explanations that rev 1's unsourced ranges appear in no cited source."
1360-r1-5,A,HOLDS,N/A,"docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md:94,97,114","Four citation years are corrected: arXiv 2505.13353 at line 94 shows ""v1 2025-05-19, v2 2025-05-20""; claude-code#13239 at line 114 shows ""2025-12-06""; and the Addy Osmani post at line 97 shows ""2025-12-19"" with correction note that title's ""2026"" is its subject not its date."
1360-r1k-1,A,HOLDS,N/A,docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md:59,"The 404 anchor slug was fixed. Line 59 shows the corrected URL: ""https://codingfleet.com/blog/context-window-lie-how-well-ai-models-use-1m-tokens-2026/"" with the correct ""use-1m-tokens-2026"" slug instead of the broken ""use-1m-2026""."
1360-r1k-2,A,HOLDS,N/A,"docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md:59,60","The anchor is now rated NO MATCH in both places. Line 59 states ""**NO MATCH, corrected rev 2**"" for the CodingFleet source, and line 60 shows the Opus 4.6 benchmark also rated ""**NO MATCH**"" with the correction that Sonnet 4.5 (not Opus 4.6's predecessor) scores 18.5%."
1360-r1k-3,A,HOLDS,N/A,"docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md:94,97,114","Three sources are correctly dated to 2025 instead of 2026: arXiv 2505.13353 at line 94 shows ""v1 2025-05-19, v2 2025-05-20 (ACL 2026 main; acceptance year ≠ revision date""; the Addy Osmani post at line 97 shows ""2025-12-19""; and claude-code#13239 at line 114 shows ""2025-12-06""."
1360-r1k-4,A,HOLDS,N/A,docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md:19,"The export-control attribution was removed. Line 19 states ""suspended 2026-06-12, restored 2026-07-01 — reason not stated by the source, do not attribute one"" and correctly identifies the interval as 18 days (06-12 to 07-01) rather than attributing export control as the reason."
1360-r1k-5,A,HOLDS,N/A,docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md:60,"The Sonnet 4.5 attribution is corrected. Line 60 states ""Opus 4.6 scored 76% on the MRCR v2 8-needle 1M variant; **Sonnet 4.5** scores 18.5% on the same variant (not «Opus 4.6's predecessor» — corrected rev 2)""."
1360-r2-1,A,HOLDS,N/A,"docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md:113,114","Both ranking cells now read UNRANKED. Lines 113-114 show the Fresh-session handoff row as ""**UNRANKED (rev 3).**"" and the Auto-compact row as ""**UNRANKED (rev 3).**"" with explanations that the rankings were withdrawn."
1360-r2-2,A,HOLDS,N/A,"docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md:233,246","The two negative-existence claims are properly scoped. Line 233 shows PARK-CDC-1 scoped to ""this sweep's coverage"" and line 246 states the fork is ""parked on **this sweep's** coverage"" rather than making unqualified literature claims."
1360-r2-3,A,HOLDS,N/A,"docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md:377,148","Dates verified predicate corrected to 23/26 and signal 4.3 marked NO SUPPORTING SOURCE. Line 377 shows ""Dates verified against the source rather than against its label: **23/26 (rev 3 correction).**"" Line 148 shows signal 4.3 as ""**NO SUPPORTING SOURCE (rev 3).**"" with explanation that the cited page states the opposite of the claim."
1360-r3-1,A,HOLDS,N/A,docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md:30,"Row 1.12 is correctly excluded from dated count. Line 30 states ""Dated **2026: 11 of 13.**"" and lines 32-34 explain that ""Row 1.12 carries **NO publication date at all** and is therefore excluded from the dated count rather than absorbed into it""."
1360-r3-2,A,HOLDS,N/A,docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md:269,"The ~600k upper falsifier disclosure is present with mechanical-tails transfer warning. Line 269 shows the cross-class caution: ""⚠️ **Task-class transfer is UNVERIFIED (T16):** 1.10's ~600k is a judgment-class ceiling; RQ2's measured direction is that gated/mechanical work tolerates *more* context than judgment work, so if the transfer holds at all it points to a mechanical ceiling **at or above** ~600k, not at it."""
